symbol,displaySymbol,description,type,mic,currency,metric_10DayAverageTradingVolume,metric_13WeekPriceReturnDaily,metric_3MonthADReturnStd,metric_3MonthAverageTradingVolume,metric_52WeekHigh,metric_52WeekHighDate,metric_52WeekLow,metric_52WeekLowDate,metric_5DayPriceReturnDaily,metric_assetTurnoverAnnual,metric_assetTurnoverTTM,metric_beta,metric_bookValuePerShareQuarterly,metric_cashFlowPerShareAnnual,metric_cashFlowPerShareQuarterly,metric_cashPerSharePerShareAnnual,metric_cashPerSharePerShareQuarterly,metric_currentEv/freeCashFlowAnnual,metric_currentEv/freeCashFlowTTM,metric_currentRatioAnnual,metric_currentRatioQuarterly,metric_ebitdPerShareAnnual,metric_ebitdPerShareTTM,metric_enterpriseValue,metric_epsAnnual,metric_epsBasicExclExtraItemsAnnual,metric_epsBasicExclExtraItemsTTM,metric_epsExclExtraItemsAnnual,metric_epsExclExtraItemsTTM,metric_epsGrowthQuarterlyYoy,metric_epsInclExtraItemsAnnual,metric_epsInclExtraItemsTTM,metric_epsNormalizedAnnual,metric_epsTTM,metric_grossMarginAnnual,metric_grossMarginTTM,metric_longTermDebt/equityAnnual,metric_longTermDebt/equityQuarterly,metric_marketCapitalization,metric_monthToDatePriceReturnDaily,metric_netInterestCoverageTTM,metric_netProfitMarginAnnual,metric_netProfitMarginTTM,metric_operatingMarginAnnual,metric_operatingMarginTTM,metric_pb,metric_pbQuarterly,metric_pcfShareAnnual,metric_pcfShareTTM,metric_peAnnual,metric_peBasicExclExtraTTM,metric_peExclExtraTTM,metric_peInclExtraTTM,metric_peNormalizedAnnual,metric_peTTM,metric_pfcfShareAnnual,metric_pfcfShareTTM,metric_pretaxMarginAnnual,metric_pretaxMarginTTM,metric_priceRelativeToS&P50013Week,metric_priceRelativeToS&P5004Week,metric_priceRelativeToS&P500Ytd,metric_psAnnual,metric_psTTM,metric_ptbvQuarterly,metric_quickRatioAnnual,metric_quickRatioQuarterly,metric_revenuePerShareAnnual,metric_revenuePerShareTTM,metric_roaRfy,metric_roaTTM,metric_roeRfy,metric_roeTTM,metric_roiAnnual,metric_roiTTM,metric_tangibleBookValuePerShareQuarterly,metric_totalDebt/totalEquityAnnual,metric_totalDebt/totalEquityQuarterly,metric_yearToDatePriceReturnDaily,asof_utc,metric_26WeekPriceReturnDaily,metric_52WeekPriceReturnDaily,metric_bookValuePerShareAnnual,metric_bookValueShareGrowth5Y,metric_capexCagr5Y,metric_cashFlowPerShareTTM,metric_currentDividendYieldTTM,metric_dividendGrowthRate5Y,metric_dividendIndicatedAnnual,metric_dividendPerShareAnnual,metric_dividendPerShareTTM,metric_dividendYieldIndicatedAnnual,metric_ebitdaCagr5Y,metric_ebitdaInterimCagr5Y,metric_epsGrowth3Y,metric_epsGrowth5Y,metric_epsGrowthTTMYoy,metric_evEbitdaTTM,metric_evRevenueTTM,metric_focfCagr5Y,metric_forwardPE,metric_grossMargin5Y,metric_inventoryTurnoverAnnual,metric_inventoryTurnoverTTM,metric_netIncomeEmployeeAnnual,metric_netIncomeEmployeeTTM,metric_netInterestCoverageAnnual,metric_netMarginGrowth5Y,metric_netProfitMargin5Y,metric_operatingMargin5Y,metric_payoutRatioAnnual,metric_payoutRatioTTM,metric_pbAnnual,metric_peExclExtraAnnual,metric_pegTTM,metric_pretaxMargin5Y,metric_priceRelativeToS&P50026Week,metric_priceRelativeToS&P50052Week,metric_ptbvAnnual,metric_receivablesTurnoverAnnual,metric_receivablesTurnoverTTM,metric_revenueEmployeeAnnual,metric_revenueEmployeeTTM,metric_revenueGrowth3Y,metric_revenueGrowth5Y,metric_revenueGrowthQuarterlyYoy,metric_revenueGrowthTTMYoy,metric_revenueShareGrowth5Y,metric_roa5Y,metric_roe5Y,metric_roi5Y,metric_tangibleBookValuePerShareAnnual,metric_tbvCagr5Y
MIAX,MIAX,MIAMI INTERNATIONAL HOLDINGS,Common Stock,XNYS,USD,0.77996,3.1602,42.804897,0.7805,51.375,2025-11-12,28.63,2025-08-14,0.4897,1.1709,1.2726,0.32969457,10.2183,0.8867,1.5085,1.8405,4.9314,45.3701,26.759,1.4136,2.2675,0.6765,-0.3328,3286.2467,1.2502,1.2502,-1.3946,1.2502,-1.3946,,1.2502,-1.3946,1.2502,-1.3946,24.18,29.41,0.2624,0.0018,3681.0957,-2.9067,-0.3614,8.96,-7.36,-0.61,-4.07,4.4249,3.94,33.0324,23.0292,36.0457,,,,36.0457,,50.8214,29.9742,9.22,-7.29,-0.573,-8.0215,-4.4919,3.2288,2.7918,5.0993,1.4136,2.2675,13.9569,18.8018,10.489999999999998,-9.370000000000001,27.779999999999998,-19.439999999999998,21.78,-17.01,7.8953,0.2758,0.008,-2.9067,2026-01-27T21:07:21.294926+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVY,AVY,AVERY DENNISON CORP,Common Stock,XNYS,USD,0.52094,5.1776,28.428717,0.71758,196.3,2025-01-28,156.23,2025-10-14,3.3478,1.0418,1.0259,1.0010494,28.5123,8.7594,8.4157,4.124,7.5014,25.4654,27.276,1.0755,1.2643,15.9455,16.5244,17800.294,8.7348,8.7348,8.8127,8.7348,8.8127,-5.19,8.7348,8.8127,8.7348,8.8127,28.9,28.56,1.1031,1.4483,14555.494,3.5353,7.97471,8.05,7.93,10.59,10.73,6.5832,5.658,15.5044,17.0081,20.649,20.9251,20.9251,20.9251,20.649,20.9251,20.8233,20.4288,10.89,10.93,1.4444,2.8104,1.9501,1.6624,1.6597,8.2486,0.7338,0.8921,108.4969,112.4359,8.39,8.14,30.48,31.28,12.9,12.18,19.5576,1.3632,1.7101,3.5353,2026-01-27T21:07:22.910045+00:00,3.655,-1.6761,28.976,14.95,-1.39,9.56875,1.9676,14.44,3.76,3.4623,3.6256,1.9967076,22.36,4.8,-0.37,19.58,5.78,13.6443,2.0297,7.39,19.642449477186364,27.57,6.5568,6.1097,0.0201,0.0199,15.20397,13.41,7.84,10.37,39.37,41.17,6.5061,20.60049,3.7090704213997814,10.53,-6.5015,-15.6176,10.4018,6.078,5.477,0.2502,0.2506,1.36,4.37,1.47,1.03,5.46,8.49,33.46,13.43,18.124,9.36
VMC,VMC,VULCAN MATERIALS CO,Common Stock,XNYS,USD,0.92209,2.2917,23.618273,0.94418,313.37,2026-01-12,215.08,2025-03-10,1.4351,0.4337,0.4652,1.0685084,66.1682,6.1022,7.9902,4.2369,1.4492,54.4289,41.5996,1.8285,2.2309,14.8355,17.7454,43875.125,6.8512,6.8512,8.4113,6.8512,8.4113,80.72,6.8512,8.4113,6.8512,8.4113,26.96,28.23,0.6044,0.4992,39692.125,5.3222,7.8826,12.29,14.19,18.4,20.83,4.5444,4.6534,28.1584,23.2104,43.5268,35.4901,35.4901,35.4901,43.5268,35.4901,49.2397,37.6336,15.8,17.84,-1.4415,1.7568,3.737,5.351,5.0357,5.858,1.2783,1.5552,55.7303,59.3085,5.33,6.6000000000000005,11.23,13.4,6.78,8.450000000000001,52.5621,0.6562,0.5008,5.3222,2026-01-27T21:07:24.481809+00:00,12.1816,8.2367,61.458,7.61,9.46,10.87958,0.6455,8.29,1.96,1.8501,1.9402,0.65246344,9.38,13.24,10.89,8.15,32.52,18.5935,5.5664,6.08,35.60606159685177,24.88,8.3522,8.4766,0.0797,0.0978,7.1989,-0.39,11.25,17.28,26.8,22.91,4.1842,47.59421,1.097887714363051,14.72,2.0251,-5.7048,5.3046,8.3251,7.1584,0.6486,0.6892,10.14,8.52,14.35,6.54,8.57,5.14,10.39,6.57,48.4777,7.16
FCN,FCN,FTI CONSULTING INC,Common Stock,XNYS,USD,0.19065,17.7868,23.894972,0.34449,204.69,2025-01-28,149.31,2025-10-16,3.0204,1.0283,1.0606,0.083418734,55.8175,10.0156,1.3995,18.3915,4.6566,16.7639,137.4468,1.9528,1.8523,9.8448,10.3027,6029.792,7.8139,7.8139,7.8649000000000004,7.8139,7.8649000000000004,40.54,7.8139,7.8649000000000004,7.8139,7.8649000000000004,31.96,31.95,0.0,0.2915,5665.759,7.4167,20.4108,7.57,7.2,9.39,9.43,3.2382,2.896,14.3402,52.6113,20.2285,21.2958,21.2958,21.2958,20.2285,21.2958,15.7518,10.7534,9.48,9.32,14.0536,4.2138,5.8315,1.5318,1.5342,2.9197,1.8916,1.6999,103.1846,116.0492,7.79,7.64,12.4,13.209999999999999,12.4,11.57,55.3658,0.0,0.2915,7.4167,2026-01-27T21:07:26.040713+00:00,11.0506,-4.0372,62.8822,9.57,-3.4,8.05363,,,,,,,2.35,9.31,5.53,6.56,-9.7,17.117,1.6327,15.39,21.449886882333306,31.86,,194.6667,0.0343,0.0326,16.3514,-3.85,8.05,10.59,,,3.0421,33.69327,,10.19,0.8941,-17.9787,3.0649,3.4855,3.1766,0.4529,0.4522,10.03,9.47,3.26,-0.95,10.81,7.7,14.03,12.61,62.4153,9.09
VOYA,VOYA,VOYA FINANCIAL INC,Common Stock,XNYS,USD,0.93551,3.3094,24.014345,0.75459,79.99,2026-01-08,52.4343,2025-04-07,3.9438,0.0491,0.0477,0.89478576,51.9849,14.0842,8.4946,10.36147,8.72718,6.0049,9.9711,6.9315,50.8874,10.8284,10.7641,8076.559,6.5779,6.5779,6.2513,6.5779,6.2513,73.61,6.5779,6.2513,6.5779,6.2513,,,0.5251,0.3062,7248.559,2.2553,3.6722,8.29,7.55,13.64,13.02,1.4623,1.4549,5.3893,8.9488,10.8674,11.8634,11.8634,11.8634,10.8674,11.8634,5.3893,7.3292,9.93,9.74,-0.4238,1.0472,0.6701,0.9004,0.8962,1.7505,6.9315,50.8874,79.3886,83.039,0.41000000000000003,0.36,16.650000000000002,13.600000000000001,10.25,9.120000000000001,43.2071,0.6247,0.4245,2.2553,2026-01-27T21:07:27.618977+00:00,5.309,8.8298,41.9384,-9.89,,,2.9937,33.28,1.8,2.1376,2.2546,2.5197694,6.91,,-26.99,,-6.39,7.67,0.9986,0.53,8.416167711592648,,,,0.0667,0.0611,3.9736,,14.6,23.02,31.78,35.52,1.6536,16.53465,,19.31,-4.8475,-5.1117,2.0872,,,0.805,0.8088,23.9,1.31,8.79,2.91,8.22,0.46,14.1,9.47,33.2261,-19.27
EBF,EBF,ENNIS INC,Common Stock,XNYS,USD,0.19279,14.5228,20.19069,0.20991,22.0,2025-03-10,16.3,2025-10-30,0.2595,1.1309,1.0899,0.36840242,12.0697,2.307,1.6816,2.7883,1.2388,7.5555,10.6691,4.5862,3.7851,2.2717,2.5363,453.0754,1.5376,1.5376,1.657,1.5376,1.657,8.46,1.5376,1.657,1.5376,1.657,29.72,30.78,0.0,0.0,484.35837,7.2737,4661.4444,10.19,11.01,13.17,14.91,1.5891,1.4791,7.3549,10.172,12.0421,11.3157,11.3157,11.3157,12.0421,11.3157,8.0772,11.4058,14.05,15.18,11.8503,6.7303,6.2017,1.2274,1.246,1.7084,3.3398,1.9461,15.0854,15.2291,11.53,12.0,13.320000000000002,14.11,13.320000000000002,14.11,10.4499,0.0,0.0,7.2737,2026-01-27T21:07:29.202183+00:00,8.8451,-6.486,11.6178,0.44,11.68,2.44447,5.4181,31.44,1.0,3.5519,1.0246,5.1759834,-0.95,4.31,11.47,0.86,4.65,6.9105,1.1655,2.18,12.493506493506493,29.52,7.0356,5.3722,0.0217,0.0231,4661.4444,3.12,9.05,12.57,228.7,61.31,1.8262,11.774,2.54818909308929,12.59,-0.7705,-19.5209,2.0523,9.1812,10.2893,0.2126,0.2095,-0.45,-2.08,0.4,-2.66,-2.2,9.74,11.47,11.47,10.3379,2.48
HPE,HPE,HEWLETT PACKARD ENTERPRISE,Common Stock,XNYS,USD,15.2231,-7.4491,33.922253,28.12978,26.44,2025-10-08,11.965,2025-04-04,4.8063,0.4518,0.4707,1.3144604,18.7172,0.4754,0.4754,4.3768,4.3768,71.9473,71.9473,1.0142,1.0142,0.2432,0.2706,45110.97,0.0431,0.0431,-0.006099999999999994,0.0431,-0.006099999999999994,-87.07,0.0431,-0.006099999999999994,0.0431,-0.006099999999999994,30.26,30.26,0.7192,0.7192,28518.97,-11.0325,-1.9688,0.17,0.17,-0.55,-0.4,1.1552,1.3047,9.7701,9.7701,500.3328,500.3328,500.3328,500.3328,500.3328,500.3328,45.4848,11.1708,-0.83,-0.83,-11.1823,-13.0905,-12.6177,0.8316,0.8316,1.5362,0.7565,0.7565,25.9033,25.1991,0.08,0.08,0.22999999999999998,0.22999999999999998,0.12,0.13,13.4704,0.9059,0.9059,-11.0325,2026-01-27T21:07:30.743366+00:00,4.7036,-12.3102,18.7172,8.46,-0.78,2.79077,2.7911,4.91,0.52,0.6085,0.6085,2.6672904,30.52,4.48,-59.66,,,120.9409,1.3153,,9.208443159775722,33.06,3.3779,3.3779,0.0009,0.0009,1.1004,,6.21,6.36,1396.49,53.84,1.3047,24.10978,,6.52,-5.4529,-26.2517,1.0413,7.7593,7.7593,0.5119,0.5119,6.37,4.91,14.44,13.84,4.43,2.94,8.34,5.02,18.7364,8.76
ADM,ADM,ARCHER-DANIELS-MIDLAND CO,Common Stock,XNYS,USD,3.72809,8.8193,29.15718,3.45752,68.0585,2026-01-23,40.98,2025-04-09,2.2617,1.6056,1.5806,0.696177,46.8625,2.5669,9.7979,1.7929,2.5729,31.7824,8.2919,1.3902,1.3718,5.9209,4.882,38996.986,3.6511,3.6511,2.4652000000000003,3.6511,2.4652000000000003,498.12,3.6511,2.4652000000000003,3.6511,2.4652000000000003,6.76,6.22,0.3419,0.2938,32375.986,17.1856,22.4384,2.1,1.43,1.79,1.08,1.4393,1.276,11.6043,5.3189,17.9867,27.2296,27.2296,27.2296,17.9867,27.2296,26.3863,5.8801,2.64,1.74,5.0861,15.9851,15.6004,0.3785,0.3891,1.4035,0.7958,0.9055,173.4888,171.9236,3.38,2.26,8.12,5.33,5.57,3.73,42.6063,0.4582,0.3492,17.1856,2026-01-27T21:07:32.317671+00:00,21.5846,33.3795,46.3766,6.1,13.55,9.09904,3.0393,7.05,2.04,1.9879,2.0543,3.0280538,4.36,7.35,-8.63,8.39,-29.71,16.5382,0.4687,,20.166792173238683,7.23,6.779,8.0256,0.0425,0.0281,3.0137,-0.28,3.2,3.0,54.72,82.76,1.0906,9.63846,,3.84,11.4281,19.438,1.2144,21.5441,22.4773,2.018,1.9633,0.11,5.76,2.18,-4.37,8.68,5.08,12.27,8.73,41.6485,3.07
LYB,LYB,LYONDELLBASELL INDU-CL A,Common Stock,XNYS,USD,5.51088,12.5221,43.749146,5.30669,79.3899,2025-01-28,41.58,2025-11-10,4.0933,1.1275,0.9298,0.7319036,32.9333,6.1132,2.2931,10.4202,5.5433,13.3548,35.8299,1.8294,1.5699,11.3129,1.4138,26442.459,4.1933,4.1933,-3.7159999999999997,4.1933,-3.7159999999999997,,4.1933,-3.7159999999999997,4.1933,-3.7159999999999997,11.32,9.19,0.8451,1.0039,16370.459,17.4596,3.8472,3.39,-3.69,5.21,-3.09,1.5445,1.4882,4.2866,6.1313,11.9755,,,,11.9755,,8.2679,8.2346,3.98,-4.46,8.7889,17.2448,15.8744,0.4062,0.5028,1.5547,1.1169,0.8209,123.6258,101.1149,3.82,-3.4299999999999997,10.97,-10.18,5.79,-5.1499999999999995,31.5257,0.8946,1.1186,17.4596,2026-01-27T21:07:33.974313+00:00,-22.2443,-34.2554,38.476,9.76,-7.35,11.74845,10.7389,5.17,5.48,5.3056,5.4378,10.774675,-7.32,,-37.06,-15.31,,57.861,0.8121,-2.67,23.906988124141307,13.69,7.5853,6.1152,0.0683,-0.06,-1.823,-19.1,6.71,8.61,125.82,152.02,1.9355,7.94305,,7.91,-32.4008,-48.1969,2.0294,11.8553,9.3453,2.0151,1.628,-4.43,3.02,-25.14,-20.07,4.68,7.91,24.69,12.14,36.6946,10.62
VRT,VRT,VERTIV HOLDINGS CO-A,Common Stock,XNYS,USD,4.2519,5.618,55.45942,6.91305,202.45,2025-10-30,53.6,2025-04-07,3.4536,0.8773,0.9744,2.1115437,9.1789,2.9818,3.5717,3.2246,5.0767,62.3799,51.8667,1.6473,1.831,4.0406,4.8749,70813.67,1.2834,1.2834,2.6526,1.2834,2.6526,121.85,1.2834,2.6526,1.2834,2.6526,36.62,35.72,1.1943,0.8258,69291.17,11.8635,2.35644,6.19,10.67,9.55,14.68,19.7484,16.4356,52.5212,44.4146,139.7563,66.9998,66.9998,66.9998,139.7563,66.9998,61.0387,50.7516,9.55,14.68,1.8848,7.7948,10.2783,8.6486,7.1461,28.8208,1.2455,1.4292,20.7385,24.8032,5.43,10.39,20.369999999999997,35.25,9.25,17.66,5.2344,1.2029,0.8318,11.8635,2026-01-27T21:07:35.553494+00:00,44.6484,23.8587,6.3942,-4.05,21.23,1.37631,0.0818,,0.15,0.1107,0.1497,0.13794625,36.14,48.05,56.93,,77.04,37.2978,7.3032,,44.84115463763761,32.84,4.7706,4.6297,0.016,0.0334,3.79035,,1.83,3.55,8.51,5.48,17.5171,210.7342,0.8987308390556374,3.55,34.4919,9.9172,45.0189,3.5233,3.7735,0.2584,0.3128,17.03,12.57,29.05,28.76,-11.16,1.51,-1.39,2.13,2.488,
